entry_dt,exit_dt,direction,r_multiple,pnl_net,bars_held,squeeze_length,squeeze_bucket,winner,mfe_r,volatility,regime,atr_percentile
2021-02-03 14:15,2021-02-04 09:15,long,1.44,419.33,76,1,Short (1-5),True,2.73,high_vol,uptrend_high_vol,81.1
2021-04-21 13:15,2021-04-22 21:00,long,1.39,390.13,127,1,Short (1-5),True,2.29,high_vol,uptrend_high_vol,100.0
2021-07-23 16:15,2021-07-26 01:45,short,1.52,-416.6,230,1,Short (1-5),True,0.14,low_vol,downtrend_low_vol,10.0
2021-06-10 10:15,2021-06-11 06:30,long,-1.07,-315.73,81,1,Short (1-5),False,,low_vol,uptrend_low_vol,11.1
2021-06-26 01:15,2021-06-26 08:15,long,-0.98,-272.74,28,1,Short (1-5),False,0.02,normal_vol,downtrend_normal_vol,35.6
2021-06-29 01:15,2021-06-29 22:30,long,0.37,87.13,85,1,Short (1-5),True,1.17,low_vol,downtrend_low_vol,11.1
2021-09-23 11:15,2021-10-01 17:30,short,0.6,-176.5,793,1,Short (1-5),True,0.85,high_vol,downtrend_high_vol,100.0
2021-09-13 08:15,2021-09-18 23:30,short,0.57,-171.29,541,1,Short (1-5),True,0.55,normal_vol,uptrend_normal_vol,33.3
2021-11-06 11:15,2021-11-19 14:45,short,-1.49,413.66,1262,1,Short (1-5),False,2.38,high_vol,ranging_high_vol,100.0
2022-07-16 13:15,2022-07-17 09:30,long,2.11,600.02,81,1,Short (1-5),True,3.37,high_vol,ranging_high_vol,81.1
2022-10-17 05:15,2022-10-17 18:30,long,0.79,206.7,53,1,Short (1-5),True,1.73,high_vol,downtrend_high_vol,98.9
2022-09-15 07:15,2022-09-15 15:15,long,-0.78,-268.11,32,1,Short (1-5),False,0.46,normal_vol,ranging_normal_vol,67.8
2022-03-26 16:15,2022-03-28 23:00,long,1.92,456.09,219,1,Short (1-5),True,3.2,high_vol,uptrend_high_vol,100.0
2022-02-27 16:15,2022-02-27 19:30,long,-0.9,-254.18,13,1,Short (1-5),False,,normal_vol,downtrend_normal_vol,67.8
2022-02-16 19:15,2022-02-17 13:30,long,-0.72,-212.98,73,1,Short (1-5),False,0.94,normal_vol,downtrend_normal_vol,63.3
2022-01-09 17:15,2022-01-10 14:15,long,-0.93,-277.29,84,1,Short (1-5),False,0.23,low_vol,downtrend_low_vol,10.0
2025-07-04 23:15,2025-07-06 19:45,long,1.82,524.47,178,1,Short (1-5),True,2.73,high_vol,ranging_high_vol,87.8
2025-07-14 02:15,2025-07-14 15:15,long,1.04,302.06,52,1,Short (1-5),True,2.09,high_vol,uptrend_high_vol,82.2
2025-08-19 15:15,2025-08-20 15:15,short,0.62,-255.17,96,1,Short (1-5),True,0.4,low_vol,uptrend_low_vol,14.4
2025-09-28 16:15,2025-09-29 10:45,long,1.42,478.83,74,1,Short (1-5),True,2.12,low_vol,downtrend_low_vol,12.2
2023-05-10 03:15,2023-05-15 06:30,short,0.51,-167.6,493,1,Short (1-5),True,0.79,normal_vol,downtrend_normal_vol,46.7
2023-06-02 01:15,2023-06-05 00:00,long,2.45,698.52,283,1,Short (1-5),True,4.62,high_vol,uptrend_high_vol,100.0
